LULC,"HABITAT","pr_rd_c","sc_rd_c","urban_c","rures_c","crop_c","NAME"
0,"0","0","0","0","0","0","empty"
10,"0","0","0","0","0","0","Urban"
11,"0","0","0","0","0","0","Static"
12,"1","0.86","0.82","0.6","0.5","0.3","Open_Forest"
13,"1","0.86","0.82","0.6","0.5","0.3","Closed_Forest"
14,"0.91","1","1","0.3","0.4","0.4","Shrubland"
15,"0.3","0","0","0","0","0","Int_AG"
16,"0.81","1","1","0.3","0.2","0.5","Alp_Past"
17,"0.5","0","0","0","0","0","Grassland"
18,"0.4","0","0","0","0","0","Perm_crops"
19,"1","1","1","0.3","0.2","0.2","Glacier"
