binom_name;ES
Abax parallelepipedus;RM
Abies alba;MED
Abies alba;MEDPLR
Acer campestre;MED
Acer campestre;MEDPLR
Achillea erba-rotta;MED
Achillea millefolium;MED
Achillea millefolium;MEDPLR
Aconitum napellus;MED
Acorus calamus;MED
Actaea spicata;MED
Adiantum capillus-veneris ;MED
Adonis vernalis;MED
Aegopodium podagraria;MED
Aesculus hippocastanum;MED
Aethusa cynapium;MED
Agave americana;MED
Agonum muelleri;POL_2
Agonum sexpunctatum;POL_2
Agrimonia eupatoria ;MED
Agrimonia procera;MED
Ailanthus altissima ;MED
Ajuga chamaepitys;MED
Ajuga reptans;MED
Ajuga reptans;MEDPLR
Alauda arvensis;PC
Alcea rosea;MED
Alchemilla alpina;MED
Alchemilla alpina;MEDPLR
Alchemilla vulgaris;MED
Alchemilla vulgaris;MEDPLR
Alisma plantago-aquatica;MED
Alliaria petiolata;MED
Allium cepa;MED
Allium sativum;MED
Allium schoenoprasum;MED
Allium schoenoprasum;MEDPLR
Allium ursinum;MED
Allodynerus floricola;POL_2
Alnus glutinosa;MED
Althaea hirsuta;MED
Althaea officinalis;MED
Alytes cisternasii;PC
Alytes obstetricans;PC
Amara aenea;RM
Amara convexior;RM
Amara familiaris;RM
Amara montivaga;RM
Amara ovata;RM
Amara plebeja;RM
Amara similata;RM
Ammi majus;MED
Anagallis arvensis;MED
Anasimyia lineata;POL_2
Anchmenus dorsalis;RM
Andrena agilissima;POL_2
Andrena albopunctata;POL_2
Andrena barbilabris;POL_2
Andrena bicolor;POL_2
Andrena bimaculata;POL_2
Andrena bucephala;POL_2
Andrena carantonica;POL_2
Andrena carantonica;POL
Andrena chrysosceles;POL_2
Andrena chrysosceles;POL
Andrena cineraria;POL_2
Andrena cineraria;POL
Andrena decipiens;POL_2
Andrena distinguenda;POL_2
Andrena dorsata;POL_2
Andrena dorsata;POL
Andrena flavilabris;POL_2
Andrena flavipes;POL_2
Andrena flavipes;POL
Andrena florea;POL_2
Andrena fucata;POL_2
Andrena fulva;POL_2
Andrena fulva;POL
Andrena fulvata;POL_2
Andrena gelriae;POL_2
Andrena gravida;POL_2
Andrena haemorrhoa;POL_2
Andrena haemorrhoa;POL
Andrena helvola;POL_2
Andrena humilis;POL_2
Andrena jacobi;POL_2
Andrena labialis;POL_2
Andrena labiata;POL_2
Andrena lagopus;POL_2
Andrena lepida;POL_2
Andrena minutula;POL_2
Andrena minutula;POL
Andrena minutuloides;POL_2
Andrena mucida;POL_2
Andrena nigroaenea;POL_2
Andrena nitida;POL_2
Andrena nitida;POL
Andrena ovatula;POL_2
Andrena pilipes;POL_2
Andrena rufula;POL_2
Andrena scotica;POL_2
Andrena subopaca;POL_2
Andrena thoracica;POL_2
Andrena tibialis;POL_2
Andrena trimmerana;POL_2
Andrena variabilis;POL_2
Andrena varians;POL_2
Andrena wilkella;POL_2
Anemone nemorosa;MED
Anethum graveolens;MED
Angelica sylvestris;MED
Anguis fragilis;PC
Anisodactylus binotatus;RM
Anisodactylus signatus;RM
Antennaria dioica;MED
Anthidium manicatum;POL_2
Anthidium septemspinosum;POL_2
Anthophora plumipes;POL_2
Anthriscus cerefolium;MED
Anthriscus cerefolium;MEDPLR
Anthus pratensis;PC
Anthyllis vulneraria;MED
Antirrhinum majus;MED
Apis melifera;POL_2
Apis mellifera;POL_2
Apium graveolens ;MED
Apus apus;PC
Apus melba;PC
Apus pallidus;PC
Aquila chrysaetos;SYM
Aquilegia vulgaris;MED
Arctium lappa;MED
Arctium tomentosum;MED
Arctostaphylos uva-ursi;MED
Arctostaphylos uva-ursi;MEDPLR
Aristolochia clematitis;MED
Aristolochia clematitis;MEDPLR
Armoracia rusticana;MED
Armoracia rusticana;MEDPLR
Arnica montana;MED
Artemisia abrotanum;MED
Artemisia absinthium;MED
Artemisia dracunculus;MED
Artemisia vulgaris;MED
Arum maculatum;MED
Arundo donax;MED
Asaphdion flavipes;RM
Asarum europaeum;MED
Asio flammeus;PC
Asparagus officinalis;MED
Asparagus officinalis;MEDPLR
Asparagus tenuifolius;MED
Asplenium ruta-muraria;MED
Astragalus exscapus;MED
Astrantia major;MED
Athene noctua;PC
Atropa bella-donna;MED
Avena sativa;MED
Badister bullatus;RM
Ballota nigra;MED
Barbarea verna;MED
Bellis perennis;MED
Bembidion lampros;RM
Bembidion obtusum;RM
Bembidion properans;RM
Bembidion quadrimaculatum;RM
Bembidion tetracolum;RM
Bembix rostrata;POL_2
Berberis vulgaris;MED
Berberis vulgaris;MEDPLR
Beta vulgaris;MED
Betula alba;MED
binom_name;ES
Bombina bombina;PC
Bombus hortorum;POL_2
Bombus hortorum;POL
Bombus humilis;POL_2
Bombus hypnorum;POL_2
Bombus hypnorum;POL
Bombus lapidarius;POL_2
Bombus lapidarius;POL
Bombus lucorum;POL_2
Bombus magnus;POL_2
Bombus pascuorum;POL_2
Bombus pascuorum;POL
Bombus pratorum;POL_2
Bombus pratorum;POL
Bombus ruderarius;POL_2
Bombus ruderatus;POL_2
Bombus sylvarum;POL_2
Bombus sylvestris;POL_2
Bombus terrestris;POL_2
Bombus terrestris;POL
Bombus vestalis;POL_2
Borago officinalis;MED
Brachinus crepitans;POL_2
Brachinus explodens;POL_2
Brassica juncea;MED
Bromus ramosus;MED
Bryonia dioica;MED
Bryonia dioica;MEDPLR
Bubulcus ibis;PC
Bufo bufo;PC
Bufo calamita;PC
Bufo viridis;PC
Bupleurum falcatum;MED
Burhinus oedicnemus;PC
Buteo buteo;PC
Buteo lagopus;PC
Buteo rufinus;PC
Buxus sempervirens;MED
Buxus sempervirens;MEDPLR
Calamintha nepeta;MED
Calamintha nepeta;MEDPLR
Calandrella brachydactyla;PC
Calandrella rufescens;PC
Calendula officinalis;MED
Calluna vulgaris;MED
Calluna vulgaris;MEDPLR
Caltha palustris;MED
Caltha palustris;MEDPLR
Campanula rapunculus;MED
Campanula rapunculus;MEDPLR
Canis aureus;PC
Cannabis sativa;MED
Capra ibex;SYM
Caprimulgus europaeus;PC
Caprimulgus ruficollis;PC
Capsella bursa-pastoris;MED
Capsicum annuum;MED
Carabus auratus;RM
Carabus auronitens;RM
Carabus granulatus;RM
Carabus monilis;RM
Carabus nemoralis;RM
Cardamine pratensis;MED
Cardamine pratensis;MEDPLR
Carlina acaulis;MED
Carlina vulgaris;MED
Carlina vulgaris;MEDPLR
Carpinus betulus;MED
Carum carvi;MED
Carum carvi;MEDPLR
Castanea sativa;MED
Castanea sativa;MEDPLR
Celtis australis;MED
Centaurea cyanus;MED
Centaurium erythraea;MED
Centrantus ruber;MED
Ceratina cucurbitina;POL_2
Ceratina nigrolabiata;POL_2
Ceterach officinarum Willd.;MED
Chamaeleo chamaeleon;PC
Chelidonium majus;MED
Chelidonium majus;MEDPLR
Chelostoma florisomne;POL_2
Chenopodium ambrosioides ;MED
Chimaphila umbellata;MED
Chrysosplenium alternifolium;MED
Chrysosplenium alternifolium;MEDPLR
Chrysotoxum cautum;POL_2
Chrysotoxum festivum;POL_2
Cichorium intybus;MED
Ciconia ciconia;PC
Cicuta virosa;MED
Cicuta virosa;MEDPLR
Circus cyaneus;PC
Circus pygargus;PC
Cirsium arvense;MED
Cirsium arvense;MEDPLR
Clematis recta;MED
Clematis vitalba;MED
Clematis vitalba;MEDPLR
Clivina collaris;RM
Clivina fossor;RM
Cochlearia officinalis;MED
Colchicum autumnale;MED
Colletes cunicularius;POL_2
Coluber gemonensis;PC
Coluber hippocrepis;PC
Coluber viridiflavus;PC
Colutea arborescens;MED
Conium maculatum ;MED
Convallaria majalis ;MED
Conyza canadensis;MED
Coriandrum sativum;MED
Cornus mas;MED
Cornus mas;MEDPLR
Cornus sanguinea;MED
Corvus corax;PC
Corvus corone;PC
Corvus frugilegus;PC
Corvus monedula;PC
Corydalis cava;MED
Corylus avellana ;MED
Crataegus monogyna;MED
Crataegus monogyna;MEDPLR
Crocidura russula;PC
Crocidura suaveolens;PC
Crocus sativus;MED
Cuculus canorus;PC
Cucumis sativus ;MED
Cucurbita maxima;MED
Cucurbita pepo;MED
Cupressus sempervirens;MED
Cuscuta epithymum;MED
Cyclamen purpurascens;MED
Cyclamen purpurascens;MEDPLR
Cydonia oblonga;MED
Cymbalaria muralis;MED
Cynara cardunculus;MED
Cynodon dactylon Pers.;MED
Cynoglossum officinale;MED
Cypripedium calceolus;MED
Cytisus scoparius;MED
Cytisus scoparius;MEDPLR
Daphne mezereum;MED
Datura stramonium;MED
